"CONVERTED TYPES OF ENERGY";"Industries and households";307052954;337656835;250768817;251739158;283480568;270895987;284669042;295309808;287489603;280675957;300624781;316072553;363319984;372704842;340828595;361823305;345466251;345518017;354108443;362829730;362975435;380562081;377090019;360255794;365031567;384288585;379224391;375012581;385754776;387287313;437845977;395696511;385881507;369791985;359734098;367273498;371106727;392007730;366535388;356712260;388508745;371058136;374026777;368310294;375100378;344991895;336643994;339990782;319623804;308320112;318240088;319441767;307248355;282513977;278121596;306459477;293837170
"CONVERTED TYPES OF ENERGY";"Households";140020317;153203712;125996195;132326799;148487839;143276824;152322387;154856896;152657635;141771647;148948896;154235170;172260123;181025933;165790502;171283844;165802239;163081146;166091255;176490912;174871948;182980438;178479606;168490632;168504477;184821215;179514693;180045645;184790946;186856146;212968355;188213673;184765446;174592751;166418754;171442340;172129884;181874856;169848644;164554375;177804328;169212468;171682959;173067072;182349635;164352757;161320498;164358620;151076618;148543518;153379559;151256977;144901767;134765233;133846725;146876992;137652042
"CONVERTED TYPES OF ENERGY";"Total industries";167032637;184453124;124772622;119412359;134992729;127619162;132346655;140452912;134831969;138904311;151675885;161837383;191059862;191678909;175038093;190539461;179664012;182436871;188017187;186338819;188103486;197581643;198610413;191765162;196527090;199467370;199709698;194966936;200963829;200431167;224877622;207482837;201116061;195199234;193315344;195831158;198976843;210132875;196686744;192157885;210704417;201845668;202343817;195243222;192750742;180639138;175323496;175632161;168547187;159776594;164860529;168184790;162346588;147748743;144274871;159582486;156185128
"CONVERTED TYPES OF ENERGY";"A Agriculture, forestry and fishing";17484751;19640386;11846584;10562825;11771676;11050503;11394443;12653543;11937575;12174213;13242961;14496655;17496056;17218218;14430349;15940685;14329148;14960003;15844965;15202148;15955163;16463081;16594022;16241314;16927265;16514207;17107008;16645642;16226710;15313043;18005446;16421286;15407314;15053175;14900973;14254254;14259284;15245967;14217445;13853364;15379271;14644216;15001406;14702968;13900350;12792558;11964701;12492089;12424879;11429124;11517267;11522709;11122844;10481147;10294308;11009640;9988526
"CONVERTED TYPES OF ENERGY";"01000 Agriculture and horticulture";17118301;19228758;11598300;10341447;11524962;10818904;11155636;12388346;11687384;11924811;12974181;14213141;17172695;16915000;14153961;15648718;14042324;14662611;15551138;14922787;15688501;16183490;16294533;15920208;16476614;16079091;16498864;16098086;15769188;14878426;17506581;15966225;14981480;14674690;14527049;13873697;13902306;14848128;13847988;13506892;14987072;14221088;14528849;14251922;13514012;12422067;11573023;12012690;11954687;11010667;11040816;11094186;10689459;10076266;9867201;10525699;..
"CONVERTED TYPES OF ENERGY";"010000 Agriculture and horticulture";17118301;19228758;11598300;10341447;11524962;10818904;11155636;12388346;11687384;11924811;12974181;14213141;17172695;16915000;14153961;15648718;14042324;14662611;15551138;14922787;15688501;16183490;16294533;15920208;16476614;16079091;16498864;16098086;15769188;14878426;17506581;15966225;14981480;14674690;14527049;13873697;13902306;14848128;13847988;13506892;14987072;14221088;14528849;14251922;13514012;12422067;11573023;12012690;11954687;11010667;11040816;11094186;10689459;10076266;9867201;10525699;..
"CONVERTED TYPES OF ENERGY";"02000 Forestry";70685;79400;47892;42702;47589;44674;46064;51154;48260;44875;50068;56891;70987;63153;60385;64609;63166;63171;61840;56899;53406;55564;58567;44799;104964;43795;63294;56265;58162;59115;63370;52259;41798;36772;39042;28919;37574;44837;46476;49037;49001;45546;49934;47410;41711;53635;60082;79815;71202;68864;64430;63510;55438;59029;58392;59648;..
"CONVERTED TYPES OF ENERGY";"020000 Forestry";70685;79400;47892;42702;47589;44674;46064;51154;48260;44875;50068;56891;70987;63153;60385;64609;63166;63171;61840;56899;53406;55564;58567;44799;104964;43795;63294;56265;58162;59115;63370;52259;41798;36772;39042;28919;37574;44837;46476;49037;49001;45546;49934;47410;41711;53635;60082;79815;71202;68864;64430;63510;55438;59029;58392;59648;..
"CONVERTED TYPES OF ENERGY";"03000 Fishing";295765;332229;200392;178676;199125;186926;192744;214042;201931;204527;218712;226624;252374;240065;216004;227357;223658;234221;231987;222463;213257;224027;240922;276307;345688;391320;544850;491291;399360;375502;435495;402802;384036;341713;334882;351638;319405;353002;322981;297435;343198;377583;422624;403636;344627;316856;331595;399583;398990;349593;412021;365013;377947;345852;368715;424293;..
"CONVERTED TYPES OF ENERGY";"030000 Fishing";295765;332229;200392;178676;199125;186926;192744;214042;201931;204527;218712;226624;252374;240065;216004;227357;223658;234221;231987;222463;213257;224027;240922;276307;345688;391320;544850;491291;399360;375502;435495;402802;384036;341713;334882;351638;319405;353002;322981;297435;343198;377583;422624;403636;344627;316856;331595;399583;398990;349593;412021;365013;377947;345852;368715;424293;..
"CONVERTED TYPES OF ENERGY";"B Mining and quarrying";871359;975448;601982;544929;610499;575145;595610;656198;618519;619166;560989;732892;876595;840331;656104;707416;717001;836626;814292;762123;797426;815588;807421;771416;836733;797755;826985;752719;711266;699361;637386;565097;534887;547603;593892;603028;620754;606958;573450;496891;531461;553216;519566;494794;463208;458479;537703;521719;504778;524127;477278;536909;498500;446573;452151;505287;492906
"CONVERTED TYPES OF ENERGY";"06090 Mining and quarrying";871359;975448;601982;544929;610499;575145;595610;656198;618519;619166;560989;732892;876595;840331;656104;707416;717001;836626;814292;762123;797426;815588;807421;771416;836733;797755;826985;752719;711266;699361;637386;565097;534887;547603;593892;603028;620754;606958;573450;496891;531461;553216;519566;494794;463208;458479;537703;521719;504778;524127;477278;536909;498500;446573;452151;505287;..
"CONVERTED TYPES OF ENERGY";"060000 Extraction of oil and gas";522;586;354;315;351;330;340;378;356;361;559;685;1144;1489;1908;3476;3069;2597;3519;3163;3545;5301;3971;3011;2961;3011;3109;1653;2859;230;3110;221;67;4204;931;944;63;2853;1289;184;107;17339;10095;15170;13086;4727;4925;5936;5927;21479;29769;62608;16843;14879;13564;19169;..
"CONVERTED TYPES OF ENERGY";"080090 Extraction of gravel and stone";844421;947465;575816;516017;576091;542165;560679;622072;584629;602720;539286;706731;849213;812670;621639;669052;677478;793852;770619;715326;753012;768579;766880;733968;795523;751856;776962;703092;656401;646808;575878;509380;489857;500014;550299;559902;577295;550369;525024;450142;480858;477375;439296;413931;388170;397536;476794;464006;451418;460670;411673;412778;397852;370795;390822;434508;..
"CONVERTED TYPES OF ENERGY";"090000 Mining support service activities";26415;27396;25812;28596;34057;32650;34590;33749;33534;16085;21144;25476;26237;26171;32558;34888;36454;40177;40154;43634;40868;41707;36570;34438;38249;42888;46914;47974;52006;52323;58398;55497;44963;43384;42661;42181;43396;53736;47137;46564;50496;58503;70175;65694;61952;56216;55984;51777;47433;41978;35835;61523;83805;60899;47765;51611;..
